stddev_2_a,min_2_a,min_q_2_a,min_q_7_a,min_q_12_a,min_q_17_a,covmat_104_a,logm_9_a,entropy0_a,entropy3_a,stddev_2_b,min_2_b,min_q_2_b,min_q_7_b,min_q_12_b,min_q_17_b,covmat_104_b,logm_9_b,entropy0_b,entropy3_b,label
16.8,-10.2,3.99,-2.34,-10.2,-2.23,489.0,3.93,4.97,4.98,17.5,-10.7,-9.96,-2.57,0.563,-10.7,459.0,4.66,4.97,4.98,NEUTRAL
10.2,2.08,2.08,10.8,3.08,12.9,660.0,5.94,4.98,4.98,10.5,1.97,2.25,15.1,11.4,1.97,513.0,5.32,4.99,4.99,NEUTRAL
17.0,-17.5,-9.37,-17.5,-8.28,-3.76,352.0,4.97,0.0,0.0,17.2,-11.3,-7.72,-3.0,-11.3,-3.28,406.0,2.5,0.0,0.0,POSITIVE
8.12,9.87,13.1,9.87,19.4,13.9,749.0,4.56,0.0,4.98,7.36,12.7,19.1,14.2,14.3,12.7,451.0,4.91,4.98,4.99,NEUTRAL
266.0,-1010.0,-1000.0,-1010.0,-894.0,-847.0,188000.0,9.51,0.0,0.0,256.0,-935.0,-895.0,-850.0,-935.0,-845.0,156000.0,7.87,0.0,0.0,POSITIVE
21.9,-39.5,-39.5,-32.8,-31.7,-31.1,304.0,6.0,0.0,4.92,23.5,-59.7,-32.2,-30.5,-59.7,-32.2,225.0,5.49,0.0,0.0,POSITIVE
21.6,-42.1,-42.1,-40.5,-37.2,-35.8,326.0,5.36,0.0,0.0,21.2,-37.4,-35.5,-37.4,-33.2,-37.1,196.0,3.28,0.0,0.0,POSITIVE
7.48,10.2,25.0,10.2,16.0,19.3,861.0,5.06,4.98,5.0,7.33,8.34,16.2,19.2,10.7,8.34,572.0,5.62,4.97,4.99,NEUTRAL
9.62,4.25,5.61,9.14,4.25,11.0,558.0,4.97,4.97,4.98,8.66,4.42,4.42,11.2,12.8,12.2,481.0,5.87,4.97,4.99,NEUTRAL
183.0,-752.0,-676.0,-752.0,-746.0,-683.0,106000.0,9.48,0.0,4.93,627.0,-746.0,-746.0,-675.0,-166.0,962.0,74300.0,6.46,0.0,0.0,POSITIVE
84.8,-1020.0,-987.0,-1000.0,-991.0,-1020.0,185000.0,11.0,0.0,0.0,83.5,-1020.0,-991.0,-1020.0,-989.0,-1000.0,188000.0,11.0,0.0,0.0,NEGATIVE
214.0,-1030.0,-1000.0,-1000.0,-1010.0,-1030.0,190000.0,11.2,0.0,0.0,219.0,-1020.0,-1020.0,-1020.0,-1020.0,-1020.0,196000.0,11.1,0.0,0.0,NEGATIVE
146.0,-698.0,-632.0,-596.0,-698.0,-672.0,79400.0,10.2,0.0,0.0,146.0,-703.0,-703.0,-690.0,-637.0,-654.0,91400.0,10.2,0.0,0.0,NEGATIVE
236.0,-658.0,-603.0,-658.0,-533.0,-630.0,69100.0,10.2,0.0,0.0,232.0,-674.0,-538.0,-627.0,-674.0,-571.0,66500.0,9.96,0.0,0.0,NEGATIVE
240.0,-677.0,-586.0,-664.0,-677.0,-660.0,77000.0,10.3,0.0,0.0,240.0,-682.0,-682.0,-664.0,-614.0,-607.0,80000.0,10.1,0.0,0.0,NEGATIVE
19.7,-43.0,-42.9,-35.1,-43.0,-34.6,233.0,6.06,0.0,0.0,20.3,-41.7,-41.7,-33.6,-38.7,-32.9,261.0,6.15,0.0,4.93,POSITIVE
200.0,-878.0,-834.0,-845.0,-816.0,-878.0,135000.0,10.9,0.0,0.0,204.0,-872.0,-822.0,-872.0,-825.0,-779.0,137000.0,10.6,0.0,0.0,NEGATIVE
10.2,5.39,5.39,13.1,7.73,10.4,524.0,4.69,4.97,4.99,9.61,8.04,8.04,10.0,17.0,20.8,359.0,5.58,4.96,4.98,NEUTRAL
7.95,14.4,14.7,16.4,14.4,26.1,529.0,3.83,4.98,4.99,7.67,8.11,14.0,26.1,19.2,8.11,899.0,5.32,4.98,4.99,NEUTRAL
220.0,-1010.0,-937.0,-847.0,-1010.0,-747.0,171000.0,9.85,0.0,0.0,216.0,-1020.0,-1020.0,-740.0,-931.0,-922.0,163000.0,10.9,0.0,0.0,POSITIVE
8.55,-2.48,-2.48,0.235,6.89,5.18,835.0,5.83,0.0,0.0,9.07,5.47,6.63,5.47,6.52,10.3,652.0,4.44,0.0,0.0,POSITIVE
51.9,-163.0,-163.0,-109.0,-16.2,-15.3,3000.0,2.97,0.0,0.0,12.5,-16.9,-15.7,-15.2,-16.9,-9.11,449.0,4.51,0.0,0.0,POSITIVE
148.0,-611.0,-611.0,-564.0,-609.0,-585.0,69400.0,10.0,0.0,0.0,158.0,-614.0,-604.0,-590.0,-614.0,-613.0,71100.0,10.0,0.0,0.0,NEGATIVE
12.3,-0.768,8.27,10.4,-0.768,7.79,741.0,5.38,4.97,4.99,12.0,-5.3,-5.3,7.81,2.52,7.6,804.0,5.74,4.97,4.98,NEUTRAL
13.1,-27.9,-27.9,-21.0,-16.4,-7.64,550.0,5.39,0.0,0.0,12.5,-26.6,-16.4,-7.75,-26.6,-15.7,485.0,4.95,0.0,0.0,POSITIVE
17.3,-17.0,-17.0,-3.62,7.85,7.07,474.0,5.16,4.95,4.97,17.0,-3.85,7.92,5.85,0.82,-3.85,700.0,0.556,4.96,4.98,NEUTRAL
14.6,-14.1,-7.29,-6.86,-6.64,-14.1,844.0,5.28,0.0,0.0,15.2,-13.6,-7.44,-13.6,-11.8,-6.06,597.0,5.89,0.0,0.0,POSITIVE
171.0,-881.0,-755.0,-819.0,-834.0,-881.0,130000.0,10.9,0.0,0.0,172.0,-879.0,-834.0,-879.0,-767.0,-696.0,137000.0,10.4,0.0,0.0,POSITIVE
9.0,2.64,3.13,6.3,2.64,2.81,615.0,4.55,0.0,0.0,9.12,-6.32,4.11,2.7,-0.102,-6.32,525.0,4.11,0.0,0.0,POSITIVE
18.1,-37.0,-33.8,-32.9,-37.0,-30.0,666.0,5.94,0.0,0.0,37.0,-37.2,-37.2,-30.2,25.5,26.0,1030.0,2.71,0.0,0.0,POSITIVE
15.5,-17.1,-17.1,-1.89,3.16,-11.9,490.0,7.15,0.0,0.0,15.1,-13.5,3.15,-11.8,-13.5,-7.83,3810.0,7.14,0.0,0.0,NEUTRAL
21.4,-32.0,-31.3,-20.9,-32.0,-28.5,251.0,5.75,0.0,0.0,20.6,-32.0,-32.0,-29.0,-19.9,-29.8,207.0,5.52,0.0,0.0,POSITIVE
224.0,-1020.0,-992.0,-1020.0,-1010.0,-1020.0,215000.0,11.0,0.0,4.81,185.0,-1020.0,-1020.0,-1020.0,-1000.0,-1020.0,208000.0,11.1,0.0,0.0,POSITIVE
7.73,-1.43,-0.86,-1.05,1.61,-1.43,243.0,4.26,0.0,0.0,8.35,-2.61,1.59,-1.68,2.99,-2.61,432.0,5.05,0.0,0.0,POSITIVE
9.7,7.15,12.3,16.2,7.15,14.2,489.0,5.28,4.99,4.99,10.0,6.87,6.87,14.2,8.98,11.5,551.0,5.46,4.98,4.98,NEUTRAL
268.0,-1020.0,-986.0,-916.0,-966.0,-1020.0,164000.0,11.0,0.0,0.0,769.0,-1040.0,-966.0,-1020.0,-998.0,-1040.0,174000.0,10.6,0.0,0.0,NEGATIVE
16.5,-5.27,-3.45,-3.71,-2.62,-5.27,753.0,4.38,0.0,0.0,23.1,-9.24,-3.18,-5.32,-9.24,10.9,722.0,6.61,0.0,0.0,NEUTRAL
13.2,3.97,3.97,7.26,12.4,15.5,942.0,4.16,4.97,4.98,14.3,-0.0802,12.7,15.5,5.73,-0.0802,420.0,4.44,4.81,4.84,NEUTRAL
15.1,-23.3,-20.7,-23.3,-20.1,-5.63,840.0,5.78,0.0,0.0,15.0,-22.2,-21.7,-5.96,-11.4,-22.2,544.0,4.7,0.0,0.0,POSITIVE
18.0,3.88,10.1,13.3,3.88,6.54,4000.0,4.31,0.0,0.0,16.2,-5.76,3.52,6.69,-5.76,18.4,831.0,7.65,0.0,0.0,NEUTRAL
12.3,-31.7,-31.7,-31.7,-27.3,-27.5,588.0,5.92,0.0,0.0,10.7,-28.2,-28.2,-27.1,-27.4,-25.1,593.0,7.3,0.0,0.0,POSITIVE
16.8,-22.9,7.78,7.92,-12.2,-22.9,684.0,5.29,0.0,0.0,13.0,-22.7,-12.3,-22.7,-9.91,-15.2,468.0,4.8,0.0,0.0,POSITIVE
13.0,-3.28,13.8,-3.28,-0.815,15.1,860.0,5.7,4.96,4.98,12.9,-3.02,-0.634,15.1,-3.02,9.15,454.0,5.9,4.97,4.98,NEUTRAL
17.8,-14.1,-5.95,-14.1,-5.77,-5.06,302.0,5.7,0.0,0.0,17.3,-24.7,-5.69,-4.33,-10.0,-24.7,440.0,3.55,0.0,0.0,POSITIVE
11.4,3.99,4.91,4.75,6.09,3.99,1120.0,6.32,4.96,4.98,11.2,-5.35,6.23,3.94,2.43,-5.35,649.0,4.67,4.97,4.99,NEUTRAL
10.6,-6.82,-3.83,11.7,14.7,-6.82,890.0,5.05,4.98,4.99,10.7,-7.56,14.2,-7.56,-2.24,10.0,666.0,5.03,4.98,4.99,NEUTRAL
8.82,1.82,4.76,4.73,1.82,10.3,974.0,4.62,0.0,0.0,9.24,-2.11,1.71,8.22,-2.11,0.61,447.0,4.8,0.0,0.0,POSITIVE
356.0,-714.0,-714.0,-672.0,-627.0,-580.0,86800.0,9.71,0.0,0.0,357.0,-631.0,-625.0,-577.0,-631.0,-555.0,72600.0,9.73,0.0,0.0,NEGATIVE
5.01,-980.0,-979.0,-974.0,-976.0,-980.0,172000.0,10.9,0.0,0.0,11.7,-987.0,-977.0,-979.0,-984.0,-987.0,178000.0,10.9,0.0,0.0,NEGATIVE
221.0,-679.0,-679.0,-617.0,-612.0,-566.0,80900.0,10.0,0.0,0.0,224.0,-752.0,-618.0,-573.0,-601.0,-752.0,70500.0,10.6,0.0,0.0,NEGATIVE
279.0,-818.0,-818.0,-767.0,-776.0,-752.0,115000.0,10.3,0.0,0.0,278.0,-803.0,-761.0,-754.0,-803.0,-780.0,104000.0,10.7,0.0,0.0,NEGATIVE
204.0,-751.0,-722.0,-652.0,-751.0,-693.0,95700.0,10.2,0.0,0.0,200.0,-743.0,-743.0,-685.0,-686.0,-692.0,92300.0,10.3,0.0,0.0,NEGATIVE
10.7,2.82,7.49,2.82,8.15,10.7,380.0,5.72,4.98,4.97,10.4,7.94,7.94,9.94,11.2,8.16,609.0,4.53,4.99,4.98,NEUTRAL
240.0,-855.0,-835.0,-801.0,-855.0,-742.0,133000.0,10.5,0.0,0.0,239.0,-854.0,-854.0,-740.0,-846.0,-756.0,126000.0,10.4,0.0,0.0,NEGATIVE
146.0,-804.0,-730.0,-804.0,-757.0,-676.0,115000.0,10.4,0.0,0.0,145.0,-830.0,-757.0,-678.0,-830.0,-761.0,111000.0,10.5,0.0,0.0,NEGATIVE
15.5,-12.4,-12.4,-2.86,1.88,1.51,498.0,5.01,0.0,0.0,12.9,-7.15,1.62,1.58,9.05,-7.15,950.0,4.88,0.0,0.0,NEUTRAL
238.0,-611.0,-545.0,-528.0,-611.0,-487.0,60900.0,9.54,0.0,0.0,235.0,-606.0,-606.0,-494.0,-521.0,-520.0,55300.0,9.36,0.0,0.0,NEGATIVE
13.0,-1.48,2.1,3.13,-1.48,8.78,453.0,4.5,4.97,4.97,15.1,-11.3,-1.82,9.46,-11.3,4.94,746.0,5.76,4.96,4.97,NEUTRAL
20.8,-35.7,-35.7,-26.3,-28.4,-10.3,1330.0,2.73,0.0,0.0,18.2,-29.3,-29.3,-12.4,-16.8,-23.6,176.0,4.85,0.0,0.0,POSITIVE
197.0,-754.0,-683.0,-695.0,-754.0,-663.0,93000.0,10.3,0.0,0.0,198.0,-756.0,-756.0,-663.0,-739.0,-703.0,94500.0,10.3,0.0,0.0,NEGATIVE
230.0,-512.0,-507.0,-355.0,-512.0,-375.0,41200.0,5.89,0.0,0.0,248.0,-564.0,-547.0,-375.0,-486.0,-564.0,42300.0,3.94,0.0,0.0,NEGATIVE
12.3,-22.3,-20.1,-22.3,-13.9,-11.4,510.0,6.03,0.0,0.0,10.1,-11.6,-11.5,-11.6,-5.05,-11.6,527.0,5.19,0.0,0.0,POSITIVE
42.3,-56.1,-20.8,-56.1,-16.6,-6.52,393.0,3.19,0.0,0.0,15.4,-20.8,-20.8,-5.78,-18.3,-3.93,314.0,2.7,0.0,0.0,POSITIVE
18.2,-24.0,-24.0,-10.9,-12.7,-3.2,618.0,3.93,0.0,0.0,17.5,-13.5,-12.5,-3.77,-5.37,-13.5,372.0,5.45,4.99,4.99,NEUTRAL
11.9,-0.0401,13.6,6.71,6.6,-0.0401,555.0,4.23,4.98,4.98,11.2,0.0727,6.89,0.0727,5.87,7.76,282.0,4.58,4.98,4.98,NEUTRAL
141.0,-382.0,-339.0,-325.0,-352.0,-382.0,22800.0,9.13,0.0,0.0,142.0,-397.0,-352.0,-382.0,-397.0,-363.0,28100.0,8.93,0.0,0.0,POSITIVE
288.0,-683.0,-557.0,-683.0,-605.0,-592.0,74600.0,10.2,0.0,0.0,297.0,-714.0,-600.0,-593.0,-607.0,-714.0,70900.0,10.3,0.0,0.0,NEGATIVE
273.0,-699.0,-699.0,-603.0,-601.0,-574.0,79300.0,9.58,0.0,0.0,271.0,-574.0,-518.0,-523.0,-497.0,-574.0,50400.0,9.92,0.0,0.0,NEGATIVE
22.4,-13.8,-6.61,9.13,-4.98,-13.8,593.0,6.06,0.0,0.0,24.3,-20.6,-5.42,-15.6,-20.6,-6.06,2050.0,7.18,0.0,0.0,NEUTRAL
10.9,0.427,5.21,18.4,10.1,0.427,905.0,5.79,4.96,4.97,11.2,-0.0726,9.62,-0.0726,18.3,6.5,491.0,4.76,4.98,4.99,NEUTRAL
17.4,-1.72,7.65,-1.72,7.89,12.2,462.0,3.38,4.95,4.94,16.2,-0.168,7.28,12.6,2.5,-0.168,604.0,3.19,4.92,4.92,NEUTRAL
10.3,5.35,8.74,11.3,5.35,8.78,586.0,5.03,4.93,4.95,12.3,5.96,5.96,9.52,13.8,16.0,311.0,-0.901,0.0,0.0,NEUTRAL
221.0,-850.0,-765.0,-850.0,-760.0,-765.0,123000.0,10.7,0.0,0.0,223.0,-786.0,-754.0,-765.0,-786.0,-763.0,116000.0,10.6,0.0,0.0,NEGATIVE
214.0,-580.0,-536.0,-547.0,-580.0,-514.0,60400.0,9.85,0.0,0.0,214.0,-602.0,-523.0,-583.0,-595.0,-602.0,64400.0,10.2,0.0,0.0,NEGATIVE
211.0,-723.0,-723.0,-612.0,-593.0,-697.0,82000.0,10.2,0.0,0.0,208.0,-692.0,-593.0,-692.0,-622.0,-646.0,79400.0,10.4,0.0,0.0,NEGATIVE
292.0,-908.0,-874.0,-908.0,-713.0,-705.0,136000.0,10.5,0.0,0.0,285.0,-743.0,-715.0,-706.0,-743.0,-567.0,98500.0,9.95,0.0,0.0,NEGATIVE
13.4,-31.4,-31.4,-22.6,-27.8,-15.9,577.0,4.9,0.0,0.0,31.9,-110.0,-27.4,-17.0,-21.5,-110.0,5210.0,8.36,0.0,0.0,POSITIVE
15.0,0.046,0.046,6.64,5.66,3.55,643.0,5.49,4.99,4.98,15.8,-2.39,5.38,3.48,2.09,-2.39,565.0,3.68,4.98,0.0,NEUTRAL
8.16,2.18,12.4,12.8,3.68,2.18,973.0,5.9,4.99,4.99,11.7,-16.7,4.92,2.07,-16.7,7.61,749.0,6.2,4.97,4.98,NEUTRAL
8.75,7.84,10.3,7.84,16.1,16.0,689.0,3.44,4.96,0.0,7.48,11.7,16.0,15.8,11.7,14.7,799.0,0.257,4.97,4.97,NEUTRAL
209.0,-770.0,-607.0,-617.0,-695.0,-770.0,79700.0,10.6,0.0,0.0,226.0,-768.0,-689.0,-768.0,-759.0,-702.0,104000.0,10.4,0.0,0.0,NEGATIVE
13.1,9.11,14.0,11.8,9.11,10.1,737.0,5.19,4.97,4.96,13.4,6.71,9.05,10.5,16.3,6.71,630.0,4.09,4.98,4.97,NEUTRAL
331.0,-887.0,-152.0,-520.0,-887.0,-615.0,78100.0,9.24,0.0,0.0,246.0,-880.0,-880.0,-618.0,-740.0,-710.0,114000.0,10.4,0.0,0.0,POSITIVE
165.0,-950.0,-924.0,-950.0,-858.0,-831.0,165000.0,10.7,0.0,0.0,161.0,-867.0,-867.0,-830.0,-829.0,-810.0,142000.0,10.3,0.0,0.0,POSITIVE
18.3,-17.3,-13.7,-6.02,-8.22,-17.3,429.0,6.24,0.0,0.0,19.0,-19.6,-8.67,-16.7,-19.6,-4.62,762.0,5.1,0.0,0.0,POSITIVE
16.4,-24.1,2.81,7.55,-24.1,1.93,7450.0,5.18,0.0,0.0,17.4,-24.0,-24.0,1.68,3.5,13.7,5340.0,8.93,0.0,0.0,NEUTRAL
225.0,-561.0,-528.0,-465.0,-561.0,-474.0,54900.0,9.01,0.0,4.95,228.0,-583.0,-571.0,-485.0,-583.0,-507.0,61100.0,9.27,0.0,4.93,POSITIVE
187.0,-627.0,-532.0,-614.0,-627.0,-552.0,70000.0,9.97,0.0,0.0,193.0,-623.0,-619.0,-554.0,-547.0,-623.0,65800.0,10.1,0.0,0.0,NEGATIVE
9.86,-19.3,-6.91,5.12,-19.3,-1.31,865.0,-3.77,0.0,0.0,11.2,-19.4,-19.4,-1.26,-5.03,-1.09,719.0,4.14,0.0,0.0,POSITIVE
240.0,-1060.0,-1050.0,-1060.0,-1040.0,-1040.0,204000.0,11.1,0.0,0.0,239.0,-1060.0,-1050.0,-1050.0,-1060.0,-1030.0,209000.0,11.0,0.0,0.0,NEGATIVE
41.2,-4.73,-4.73,0.422,75.3,58.1,671.0,5.22,0.0,0.0,76.6,-136.0,63.2,57.8,-136.0,-74.0,2590.0,5.09,0.0,0.0,POSITIVE
11.2,-7.0,-7.0,3.08,-2.65,0.725,393.0,5.53,0.0,0.0,9.74,-2.03,-2.03,0.772,0.801,9.32,579.0,6.04,0.0,0.0,POSITIVE
232.0,-668.0,-668.0,-625.0,-656.0,-587.0,81500.0,10.0,0.0,0.0,234.0,-648.0,-648.0,-585.0,-576.0,-517.0,69500.0,9.64,0.0,0.0,NEGATIVE
13.6,-5.93,-1.14,-5.93,-1.49,8.94,1150.0,5.04,0.0,0.0,14.1,-2.9,-2.22,8.9,4.47,-2.9,743.0,3.92,0.0,0.0,POSITIVE
204.0,-449.0,-445.0,-421.0,-444.0,-449.0,38900.0,9.03,0.0,0.0,198.0,-454.0,-448.0,-454.0,-447.0,-439.0,40400.0,9.15,0.0,0.0,NEGATIVE
236.0,-880.0,-880.0,-831.0,-737.0,-808.0,136000.0,10.6,0.0,0.0,250.0,-916.0,-777.0,-790.0,-786.0,-916.0,124000.0,11.0,0.0,0.0,POSITIVE
12.5,-16.9,-15.7,-15.2,-16.9,-9.11,449.0,4.51,0.0,0.0,14.8,-16.9,-16.9,-8.0,-7.22,-5.79,606.0,5.4,0.0,0.0,POSITIVE
9.27,8.6,12.8,11.4,8.6,13.5,496.0,5.98,4.98,4.99,11.6,-10.8,8.88,13.9,18.5,-10.8,841.0,5.05,4.98,4.99,NEUTRAL
17.8,-57.2,-11.4,-57.2,-45.4,-25.7,1200.0,5.06,4.98,4.98,14.6,-45.8,-45.8,-25.2,-25.6,-12.6,860.0,5.62,4.99,4.98,NEUTRAL
15.9,-2.29,2.67,-2.29,-0.985,2.93,935.0,3.62,0.0,0.0,17.0,-5.77,-0.592,3.08,-5.77,14.1,359.0,5.88,0.0,4.94,NEUTRAL
144.0,-540.0,-540.0,-342.0,-331.0,-435.0,32500.0,9.55,0.0,0.0,139.0,-437.0,-327.0,-437.0,-350.0,-319.0,27900.0,8.86,0.0,0.0,POSITIVE
258.0,-824.0,-680.0,-770.0,-760.0,-824.0,104000.0,10.6,0.0,0.0,171.0,-881.0,-755.0,-819.0,-834.0,-881.0,130000.0,10.9,0.0,0.0,POSITIVE
20.9,-31.2,-6.8,-31.2,-28.0,-25.2,1210.0,11.2,0.0,0.0,26.6,-29.0,-27.5,-27.9,-8.81,-29.0,71500.0,9.65,0.0,0.0,POSITIVE
13.4,-14.5,6.73,16.1,14.6,-14.5,558.0,5.07,4.98,0.0,13.9,-14.7,14.5,-14.7,2.54,3.65,558.0,5.52,0.0,0.0,NEUTRAL
13.2,4.78,13.5,11.1,4.78,7.65,1040.0,5.33,0.0,0.0,13.1,6.11,6.11,7.2,11.4,9.45,569.0,6.01,4.96,4.97,NEUTRAL
142.0,-651.0,-622.0,-625.0,-651.0,-641.0,78200.0,10.2,0.0,0.0,141.0,-654.0,-643.0,-654.0,-559.0,-602.0,75400.0,9.98,0.0,0.0,NEGATIVE
128.0,-398.0,-348.0,-393.0,-393.0,-398.0,28000.0,9.25,0.0,0.0,133.0,-398.0,-392.0,-398.0,-380.0,-337.0,29400.0,8.97,0.0,0.0,NEGATIVE
391.0,-889.0,-828.0,-889.0,-702.0,-674.0,132000.0,9.42,0.0,0.0,416.0,-685.0,-685.0,-684.0,-455.0,-0.529,77100.0,-15.4,0.0,0.0,POSITIVE
243.0,-659.0,-575.0,-606.0,-595.0,-659.0,67200.0,9.99,0.0,0.0,243.0,-655.0,-597.0,-637.0,-577.0,-655.0,70700.0,10.4,0.0,0.0,NEGATIVE
360.0,-960.0,-862.0,-930.0,-872.0,-960.0,152000.0,11.1,0.0,0.0,364.0,-924.0,-787.0,-869.0,-896.0,-924.0,132000.0,11.0,0.0,0.0,NEGATIVE
15.3,-6.34,-6.34,-5.36,-3.22,-1.88,551.0,5.1,0.0,0.0,16.0,-2.82,-2.82,-2.02,11.1,8.86,583.0,5.49,0.0,0.0,NEUTRAL
114.0,-722.0,-676.0,-722.0,-609.0,-628.0,87200.0,10.2,0.0,0.0,113.0,-698.0,-612.0,-632.0,-661.0,-698.0,78400.0,10.4,0.0,0.0,NEGATIVE
17.0,-3.85,7.92,5.85,0.82,-3.85,700.0,0.556,4.96,4.98,16.0,-4.77,1.75,-4.77,14.0,1.2,498.0,6.2,4.96,4.98,NEUTRAL
13.4,-26.9,-26.9,9.08,8.86,4.73,748.0,4.5,4.96,4.97,9.41,-3.85,8.33,5.78,-3.85,11.5,385.0,5.66,4.97,4.97,NEUTRAL
0.205,-971.0,-971.0,-971.0,-971.0,-971.0,176000.0,10.9,0.0,0.0,0.184,-971.0,-971.0,-971.0,-971.0,-971.0,175000.0,10.9,0.0,0.0,NEGATIVE
321.0,-716.0,-639.0,-595.0,-716.0,-662.0,85100.0,9.72,0.0,0.0,328.0,-817.0,-714.0,-668.0,-585.0,-817.0,85100.0,9.98,0.0,0.0,NEGATIVE
11.1,8.14,12.1,8.14,16.4,10.1,487.0,5.82,4.98,4.98,10.7,5.92,16.3,9.94,5.92,9.61,657.0,5.34,0.0,0.0,NEUTRAL
9.28,9.14,9.14,27.4,20.0,17.7,1550.0,5.91,4.95,4.97,7.46,16.3,19.6,17.8,16.3,16.9,277.0,4.8,4.96,4.97,NEUTRAL
205.0,-504.0,-394.0,-504.0,-447.0,-418.0,38300.0,9.57,0.0,0.0,204.0,-449.0,-445.0,-421.0,-444.0,-449.0,38900.0,9.03,0.0,0.0,NEGATIVE
10.9,6.14,6.14,9.94,9.04,6.51,285.0,5.45,0.0,0.0,11.6,6.66,9.06,6.66,13.6,6.7,637.0,4.92,4.98,4.99,NEUTRAL
14.2,-8.51,8.17,1.25,-8.51,11.0,451.0,2.84,4.93,4.94,14.1,2.11,2.11,11.7,6.27,5.35,318.0,3.07,0.0,4.93,NEUTRAL
9.89,5.37,17.1,5.37,13.5,8.85,372.0,5.63,4.98,4.98,9.86,9.02,13.7,9.02,17.0,9.81,500.0,4.26,4.98,4.98,NEUTRAL
239.0,-610.0,-570.0,-610.0,-540.0,-535.0,61600.0,9.83,0.0,0.0,238.0,-611.0,-545.0,-528.0,-611.0,-487.0,60900.0,9.54,0.0,0.0,NEGATIVE
14.8,-14.6,-14.6,-6.23,-4.54,14.1,467.0,5.12,4.96,4.96,13.3,-9.08,-9.08,6.25,-8.29,12.9,917.0,5.59,4.97,4.98,NEUTRAL
10.9,-4.1,6.65,2.15,-4.1,-2.06,637.0,3.65,4.99,4.99,11.7,-3.59,-3.59,-1.56,4.54,10.3,759.0,4.22,4.98,4.98,NEUTRAL
15.2,1.95,8.62,8.49,11.6,1.95,699.0,5.48,4.98,4.98,15.3,1.84,11.4,1.84,14.0,7.26,564.0,4.37,4.97,4.97,NEUTRAL
138.0,-1010.0,-997.0,-995.0,-985.0,-1010.0,185000.0,11.0,0.0,0.0,147.0,-1010.0,-983.0,-1010.0,-1000.0,-1010.0,190000.0,10.9,0.0,0.0,NEGATIVE
20.3,-24.0,-8.78,-10.2,-24.0,-9.62,264.0,5.52,0.0,0.0,20.2,-24.4,-24.4,-9.4,-11.0,-14.0,523.0,5.96,0.0,0.0,POSITIVE
9.64,11.1,14.5,16.9,20.1,11.1,531.0,6.23,4.97,4.98,9.33,11.0,20.5,11.0,16.1,21.1,831.0,0.946,4.97,4.98,NEUTRAL
20.3,-28.8,-28.8,-13.3,-5.03,-16.9,320.0,4.26,0.0,0.0,20.1,-19.4,-4.85,-16.8,-13.5,-19.4,178.0,5.42,0.0,0.0,POSITIVE
252.0,-1040.0,-1040.0,-1030.0,-1020.0,-1000.0,201000.0,11.1,0.0,0.0,249.0,-1030.0,-1020.0,-1000.0,-1030.0,-1020.0,199000.0,11.1,0.0,0.0,NEGATIVE
16.7,-11.4,-11.4,-5.08,-9.7,-5.75,312.0,4.64,0.0,0.0,16.8,-10.1,-10.1,-6.3,-7.6,-9.95,232.0,4.33,0.0,0.0,POSITIVE
168.0,-814.0,-814.0,-803.0,-610.0,-743.0,116000.0,9.78,0.0,0.0,161.0,-754.0,-617.0,-754.0,-688.0,-752.0,94200.0,10.7,0.0,0.0,POSITIVE
248.0,-550.0,-368.0,-403.0,-486.0,-550.0,35300.0,8.23,0.0,0.0,303.0,-847.0,-486.0,-568.0,-847.0,-644.0,85700.0,-9.21,0.0,0.0,POSITIVE
20.0,-14.3,-8.33,-12.0,-13.0,-14.3,303.0,4.45,0.0,0.0,19.9,-14.5,-13.0,-14.3,-8.63,-14.5,360.0,4.71,0.0,0.0,POSITIVE
6.89,12.7,16.5,18.5,12.7,12.9,566.0,4.84,4.97,4.99,7.4,9.59,12.8,12.8,9.59,12.7,432.0,5.05,4.97,4.98,NEUTRAL
368.0,-872.0,-758.0,-872.0,-789.0,-747.0,129000.0,10.6,0.0,0.0,369.0,-787.0,-787.0,-752.0,-751.0,-707.0,114000.0,9.99,0.0,0.0,NEGATIVE
156.0,-872.0,-590.0,-667.0,-773.0,-872.0,92000.0,10.9,0.0,0.0,145.0,-879.0,-777.0,-879.0,-711.0,-854.0,126000.0,10.9,0.0,0.0,POSITIVE
14.1,1.9,5.22,9.31,7.34,1.9,589.0,4.25,4.94,0.0,14.2,-8.51,8.17,1.25,-8.51,11.0,451.0,2.84,4.93,4.94,NEUTRAL
18.9,-28.4,-6.78,-28.4,-13.1,-3.36,4020.0,4.44,0.0,0.0,15.6,-12.5,-12.5,-4.19,-0.864,9.8,606.0,5.8,0.0,0.0,POSITIVE
206.0,-1000.0,-822.0,-996.0,-948.0,-1000.0,174000.0,11.3,0.0,0.0,179.0,-994.0,-945.0,-994.0,-961.0,-863.0,177000.0,10.6,0.0,0.0,POSITIVE
14.5,-7.93,-1.1,-7.93,-7.85,-3.23,477.0,5.16,4.99,4.99,13.3,-6.89,-6.89,-3.94,0.438,-3.43,572.0,5.44,4.99,4.99,NEUTRAL
11.2,5.4,13.3,5.4,14.8,11.5,845.0,3.51,4.98,4.99,12.2,3.12,14.9,11.5,3.12,7.89,492.0,5.97,4.97,4.98,NEUTRAL
